"date","p_albicaulis","m_from_transect","healthy..1..yes..0...no.","cones..2...many..1...few..0...none.","transect","location","latitude","longitude","altitude","contact"
"06.08.2022",0,NA,NA,NA,"BT-14","BT",49.96199,-123.04677,1742.7,"nathalie.chardon@gmail.com"
"05.08.2022",0,NA,NA,NA,"TM-7","TM",49.95778,-123.050751,1668.5,"nathalie.chardon@gmail.com"
"05.08.2022",1,9,1,0,"TM-2","TM",49.953251,-123.06518,1579.9,"nathalie.chardon@gmail.com"
"08.08.2022",0,NA,NA,NA,"TM-27","TM",49.9579,-123.05047,1669.2,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-23","PR",49.963779,-123.02262,1796.8,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-24","PR",49.96373,-123.02254,1797,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-22","PR",49.96418,-123.02477,1765.9,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-12","BT",49.961349,-123.04754,1722,"nathalie.chardon@gmail.com"
"05.08.2022",1,2,1,0,"TM-1","TM",49.95326,-123.065269,1579.9,"nathalie.chardon@gmail.com"
"08.08.2022",0,NA,NA,NA,"TM-25","TM",49.95695,-123.05188,1658.9,"nathalie.chardon@gmail.com"
"08.08.2022",0,NA,NA,NA,"TM-28","TM",49.95797,-123.0505,1669.7,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-11","BT",49.961411,-123.04749,1723.8,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-20","PR",49.96386,-123.0255,1758.3,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-21","PR",49.96415,-123.02479,1765.6,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-15","BT",49.96884,-123.04025,1983.2,"nathalie.chardon@gmail.com"
"05.08.2022",1,15,1,0,"TM-3","TM",49.95388,-123.064621,1581.1,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-18","PR",49.96449,-123.02751,1769.9,"nathalie.chardon@gmail.com"
"05.08.2022",0,NA,NA,NA,"TM-8","TM",49.95778,-123.050751,1668.5,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-17","PR",49.96442,-123.02755,1769.9,"nathalie.chardon@gmail.com"
NA,NA,NA,NA,NA,"P_albicaulis",NA,49.953459,-123.017959,2096.5,"nathalie.chardon@gmail.com"
NA,NA,NA,NA,NA,"p_albicaulis",NA,49.92976,-122.98604,1486.7,"nathalie.chardon@gmail.com"
"05.08.2022",0,NA,NA,NA,"TM-5","TM",49.95451,-123.06272,1587.8,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-9","BT",49.96058,-123.04816,1698.2,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-10","BT",49.96059,-123.04817,1698.4,"nathalie.chardon@gmail.com"
"06.08.2022",1,10,1,0,"BT-16","BT",49.96882,-123.04026,1983.1,"nathalie.chardon@gmail.com"
"08.08.2022",0,NA,NA,NA,"TM-26","TM",49.956921,-123.05199,1658,"nathalie.chardon@gmail.com"
"05.08.2022",0,NA,NA,NA,"TM-4","TM",49.95394,-123.06468,1581,"nathalie.chardon@gmail.com"
"05.08.2022",0,NA,NA,NA,"TM-6","TM",49.954559,-123.06274,1588,"nathalie.chardon@gmail.com"
"06.08.2022",0,NA,NA,NA,"BT-13","BT",49.96189,-123.04682,1740.2,"nathalie.chardon@gmail.com"
"07.08.2022",0,NA,NA,NA,"PR-19","PR",49.96388,-123.02544,1758.7,"nathalie.chardon@gmail.com"
